Name,MODEL,Classification,PEAK_DISCHARGE_RATE,NUMBER_OF_CELLS,THICKNESS,CONT_DISCHARGE_RATE,VOLTAGE,CAPACITY,DISCHARGE_PLUG,WIDTH,CHEMISTRY_TYPE,COST,PACK_RESISTANCE,WEIGHT,LENGTH,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_LENGTH,CREO_WIDTH,CREO_THICKNESS,CREO_WEIGHT
Turnigy_nano_tech_2000mAh_20_40C,40C,Battery,40.0,2S1P,16.0,20.0,6.6,2000.0,JR,42.0,LiFePo,14.73,0.0,0.109,90.0,11047.052837242118,1.9591809588947463e-06,144.15186851529836,0.0,0.0,0.0,79.99005637721706,-0.022841262985874522,0.0,-0.022841262985874494,68.85273799838929,96.14403566220787,0.0,0.0,0.0,79.98988379629435,0.06818184565509984,0.0,0.06818184565509987,20.84507772622153,,,90.0,42.0,16.0,0.109
TurnigyGraphene6000mAh3S75C,TurnigyGraphene6000mAh3S75C,Battery,150.0,3S1P,27.0,75.0,11.1,6000.0,XT90,69.0,LiPo,75.16,7.0,0.63,168.0,34575.495106993396,1.9591809588947463e-06,2383.188011948548,0.0,0.0,0.0,1462.4971275356688,-0.041604787050637526,0.0,-0.04160478705063789,993.0155740706429,1633.5338013839068,0.0,0.0,0.0,1462.497008906165,0.2566083799449251,0.0,0.2566083799449247,243.3614821355053,,,168.0,69.0,27.0,0.63
TurnigyGraphene5000mAh3S75C,TurnigyGraphene5000mAh3S75C,Battery,150.0,3S1P,32.0,75.0,11.1,5000.0,XT90,51.0,LiPo,65.48,9.0,0.49,144.0,25967.512870159455,1.9591809588947463e-06,1177.330791688291,0.0,0.0,0.0,823.6265481319117,-0.03583023922314155,0.0,-0.03583023922314149,429.5908107573672,858.8165632350328,0.0,0.0,0.0,823.6264263463758,0.16112257538675984,0.0,0.1611225753867599,111.076704089645,,,144.0,51.0,32.0,0.49
TurnigyGraphene4000mAh3S5C,TurnigyGraphene4000mAh3S5C,Battery,150.0,3S1P,28.0,75.0,11.1,4000.0,XT90,51.0,LiPo,55.05,10.0,0.41200000000000003,145.0,24556.92879670065,1.9591809588947463e-06,1044.7462596641662,0.0,0.0,0.0,726.1105296545679,-0.03607071917426197,0.0,-0.03607071917426055,369.60909153252646,776.9467589287794,0.0,0.0,0.0,726.1103954678541,0.15349488149060062,0.0,0.15349488149060203,101.80972498385354,,,145.0,51.0,28.0,0.41200000000000003
TurnigyGraphene1200mAh6S75C,TurnigyGraphene1200mAh6S75C,Battery,150.0,6S1P,45.0,75.0,22.2,1200.0,XT60,35.0,LiPo,27.99,19.0,0.232,75.0,14541.813939190826,1.9591809588947463e-06,199.84539950416269,0.0,0.0,0.0,144.76711405714764,-0.019236427156965163,0.0,-0.019236427156965497,130.2966262456875,128.8380682510752,0.0,0.0,0.0,144.76704822855783,0.04913248500273834,0.0,0.04913248500273801,59.289360821189824,,,75.0,35.0,45.0,0.232
TurnigyGraphene1600mAh4S75C,TurnigyGraphene1600mAh4S75C,Battery,150.0,4S1P,35.0,75.0,14.8,1600.0,XT60,35.0,LiPo,30.0,14.0,0.212,95.0,14970.132469896496,1.9591809588947463e-06,259.5149028468139,0.0,0.0,0.0,190.91103591054562,-0.02404552663475279,0.0,-0.02404552663475292,113.00312539835932,194.62959965617733,0.0,0.0,0.0,190.91093830496192,0.055535616636270074,0.0,0.05553561663626994,48.117919813306415,,,95.0,35.0,35.0,0.212
TurnigyGraphene1400mAh3S75C,TurnigyGraphene1400mAh3S75C,Battery,150.0,3S1P,25.0,75.0,11.1,1400.0,XT60,35.0,LiPo,24.0,13.0,0.156,90.0,11813.052837230225,1.9591809588947463e-06,162.63023108011987,0.0,0.0,0.0,109.34801633299081,-0.022843253224878346,0.0,-0.02284325322487811,68.36684182000477,114.8986593056362,0.0,0.0,0.0,109.34787279589905,0.05992890631206731,0.0,0.05992890631206754,20.635413582612838,,,90.0,35.0,25.0,0.156
Turnigynanotech3000mAh_2040C,2040C,Battery,40.0,2S1P,15.0,20.0,6.6,3000.0,JR,44.0,LiFePo,21.13,0.0,0.167,132.0,15798.521751751156,1.9591809588947463e-06,345.2650896750535,0.0,0.0,0.0,243.19557605253377,-0.032943719364352475,0.0,-0.03294371936435213,108.00865109720684,264.50951022872835,0.0,0.0,0.0,243.19531058717322,0.11347259988055114,0.0,0.11347259988055149,27.25333711624224,,,132.0,44.0,15.0,0.167
TurnigyGraphene1400mAh4S75C,TurnigyGraphene1400mAh4S75C,Battery,150.0,4S1P,32.0,75.0,14.8,1400.0,XT60,35.0,LiPo,27.87,17.0,0.196,90.0,13563.052837220974,1.9591809588947463e-06,209.43016619991056,0.0,0.0,0.0,146.9764925339013,-0.022843252381319346,0.0,-0.022843252381318825,94.47533401047635,149.4476003384853,0.0,0.0,0.0,146.97638363204402,0.0579787803060576,0.0,0.057978780306058124,34.49287705090835,,,90.0,35.0,32.0,0.196
TurnigyGraphene5000mAh6S75C,TurnigyGraphene5000mAh6S75C,Battery,150.0,6S1P,61.0,75.0,22.2,5000.0,XT90,51.0,LiPo,116.32,15.0,0.92,145.0,37492.928796657005,1.9591809588947463e-06,2296.9527952124713,0.0,0.0,0.0,1807.0860454290882,-0.03607064516225478,0.0,-0.03607064516225589,1027.4184912508745,1698.8281059152068,0.0,0.0,0.0,1807.0859833092811,0.15668668024188792,0.0,0.1566866802418868,429.293864073417,,,145.0,51.0,61.0,0.92
TurnigyReceiver1500mAh6.0V,Turnigy Receiver 1500mAh 6.0V,Battery,15.0,5S1P,17.0,10.0,6.0,1500.0,JR,32.0,NiMH,7.72,nan,0.12,84.0,8634.55727803051,1.9591809588947463e-06,79.62707288294601,0.0,-3.501712877949505e-06,0.0,52.71643895695567,-0.021398699576131275,-3.501712877949505e-06,-0.021398699576131164,30.832099933073366,48.95394306048233,0.0,-3.501712877949505e-06,0.0,52.71614242406539,0.07397165173097006,-3.501712877949505e-06,0.07397165173097017,0.159266643499971,,,84.0,32.0,17.0,0.12
TurnigyGraphene1000mAh4S75C,TurnigyGraphene1000mAh4S75C,Battery,150.0,4S1P,30.0,75.0,14.8,1000.0,XT60,35.0,LiPo,23.65,17.0,0.148,75.0,11241.813939199721,1.9591809588947463e-06,132.1847790120783,0.0,0.0,0.0,81.95839354002776,-0.01923642866919195,0.0,-0.01923642866919155,72.14861352337675,86.90084821156059,0.0,0.0,0.0,81.9582977756091,0.04661628681927493,0.0,0.046616286819275335,26.86477848727771,,,75.0,35.0,30.0,0.148
TurnigyGraphene1500mAh3S75C,TurnigyGraphene1500mAh3S75C,Battery,150.0,3S1P,27.0,75.0,11.1,1500.0,XT60,35.0,LiPo,22.62,13.0,0.162,90.0,12313.052837227582,1.9591809588947463e-06,176.00164111434583,0.0,0.0,0.0,119.67647012821247,-0.022843252983868467,0.0,-0.022843252983868176,75.40387161224388,126.43083457366916,0.0,0.0,0.0,119.67634279757253,0.05660400188324015,0.0,0.05660400188324044,25.83319240220714,,,90.0,35.0,27.0,0.162
TurnigyReceiver1500mAh4_8V,TurnigyReceiver1500mAh4.8V,Battery,15.0,4S1P,17.0,10.0,4.8,1500.0,JR,32.0,NiMH,6.24,0.0,0.095,67.5,7159.194490188193,1.9591809588947463e-06,49.5648544626701,0.0,0.0,0.0,27.939808222319627,-0.017431105431017002,0.0,-0.01743110543101719,24.77632388901451,25.291064871132228,0.0,0.0,0.0,27.939567106831895,0.05907202182402975,0.0,0.05907202182402956,0.5027754129643756,,,67.5,32.0,17.0,0.095
