Name,MODEL,Classification,HUB_THICKNESS,DIAMETER,Direction,Performance_File,SHAFT_DIAMETER,PITCH,WEIGHT,surface_area,density,coordIxx,coordIxy,coordIxz,coordIyx,coordIyy,coordIyz,coordIzx,coordIzy,coordIzz,cgIxx,cgIxy,cgIxz,cgIyx,cgIyy,cgIyz,cgIzx,cgIzy,cgIzz,CREO_DESCRIPTION,CREO_MODELED_BY,CREO_DIAMETER,CREO_PITCH,CREO_HUB_THICKNESS,CREO_SHAFT_DIAMETER,CREO_WEIGHT,CREO_PROP_OFFSET,CREO_PTC_MATERIAL_NAME
apc_propellers_10x7,apc_propellers_10x7,Propeller,12.95,254.0,1.0,PER3_10x7.dat,6.35,177.8,0.03089,111870.13911795166,8.341779622527761e-08,223.7735819256901,0.0,0.0,0.0,223.77359588950608,0.0,0.0,0.0,441.43124713791644,222.47849936944013,0.0,0.0,0.0,222.4785133332561,0.0,0.0,0.0,441.43124713791644,,,254.0,177.8,12.95,6.35,0.03089,0.0,AIR_STP_TABLE
apc_propellers_12x6SF,apc_propellers_12x6SF,Propeller,7.62,304.8,1.0,PER3_12x6SF.dat,6.35,152.4,0.019010000000000003,153317.0154879255,2.8988554015235293e-08,93.89788126841162,0.0,0.0,0.0,93.89788719611057,0.0,0.0,0.0,187.172132033279,93.62193020741162,0.0,0.0,0.0,93.62193613511057,0.0,0.0,0.0,187.172132033279,,,304.8,152.4,7.62,6.35,0.019010000000000003,0.0,AIR_STP_TABLE
apc_propellers_16x16,apc_propellers_16x16,Propeller,19.05,406.4,1.0,PER3_16x16.dat,7.94,406.4,0.10405,284132.34751929494,1.8722155295934022e-07,4831.626132841391,0.0,0.0,0.0,4831.626435404982,0.0,0.0,0.0,9551.365215653537,4822.186131560141,0.0,0.0,0.0,4822.1864341237315,0.0,0.0,0.0,9551.365215653537,,,406.4,406.4,19.05,7.94,0.10405,0.0,AIR_STP_TABLE
apc_propellers_17x12E,apc_propellers_17x12E,Propeller,12.7,431.8,1.0,PER3_17x12E.dat,6.35,304.8,0.06804,310294.9925123302,2.7544687604743417e-08,599.7090672585654,0.0,0.0,0.0,599.7091051001607,0.0,0.0,0.0,1193.911122855106,596.9655243585653,0.0,0.0,0.0,596.9655622001607,0.0,0.0,0.0,1193.911122855106,,,431.8,304.8,12.7,6.35,0.06804,0.0,AIR_STP_TABLE
apc_propellers_7x4_1SF,apc_propellers_7x4_1SF,Propeller,4.06,177.8,1.0,PER3_7x41SF.dat,5.5,104.14,0.0034900000000000005,51947.78333228549,1.876983611201384e-09,0.3748762573404387,0.0,0.0,0.0,0.37487628092040814,0.0,0.0,0.0,0.7476753065395243,0.3604943163404387,0.0,0.0,0.0,0.36049433992040814,0.0,0.0,0.0,0.7476753065395243,,,177.8,104.14,4.06,5.5,0.0034900000000000005,0.0,AIR_STP_TABLE
apc_propellers_16x8,apc_propellers_16x8,Propeller,18.29,406.4,1.0,PER3_16x8.dat,7.94,203.2,0.10092000000000001,283143.0650192277,1.0021058201637506e-06,24807.12221079695,0.0,0.0,0.0,24807.123765663535,0.0,0.0,0.0,49084.222732827344,24798.682167753952,0.0,0.0,0.0,24798.683722620535,0.0,0.0,0.0,49084.222732827344,,,406.4,203.2,18.29,7.94,0.10092000000000001,0.0,AIR_STP_TABLE
apc_propellers_18x10,apc_propellers_18x10,Propeller,15.75,457.2,1.0,PER3_18x10.dat,7.94,254.0,0.13294999999999998,351262.58420840016,5.605871810106125e-08,1905.7138711196685,0.0,0.0,0.0,1905.71399113478,0.0,0.0,0.0,3787.4635538245225,1897.4688937759186,0.0,0.0,0.0,1897.46901379103,0.0,0.0,0.0,3787.4635538245225,,,457.2,254.0,15.75,7.94,0.13294999999999998,0.0,AIR_STP_TABLE
apc_propellers_7x8,apc_propellers_7x8,Propeller,10.41,177.8,1.0,PER3_7x8.dat,4.76,203.2,0.01306,55592.18097857848,5.05232519277217e-09,2.627250173661916,0.0,0.0,0.0,2.62725033678028,0.0,0.0,0.0,5.160226009845328,2.2734283271619162,0.0,0.0,0.0,2.2734284902802804,0.0,0.0,0.0,5.160226009845328,,,177.8,203.2,10.41,4.76,0.01306,0.0,AIR_STP_TABLE
apc_propellers_8_8x9_0,apc_propellers_8_8x9_0,Propeller,14.22,223.52,1.0,PER3_88x90.dat,6.35,228.6,0.02608,88684.60131238468,1.009752280480837e-07,179.7285127199607,0.0,0.0,0.0,179.72852383395357,0.0,0.0,0.0,351.86786480534454,178.4101139519607,0.0,0.0,0.0,178.4101250659536,0.0,0.0,0.0,351.86786480534454,,,223.52,228.6,14.22,6.35,0.02608,0.0,AIR_STP_TABLE
apc_propellers_10x3,apc_propellers_10x3,Propeller,11.68,254.0,1.0,PER3_10x3.dat,6.35,76.2,0.02608,110831.3887858018,4.6777389564177767e-08,112.88877819641094,0.0,0.0,0.0,112.8887852588459,0.0,0.0,0.0,223.26128298390108,111.99930414841094,0.0,0.0,0.0,111.9993112108459,0.0,0.0,0.0,223.26128298390108,,,254.0,76.2,11.68,6.35,0.02608,0.0,AIR_STP_TABLE
